Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (GO)	Function [CC]
A0ABW4C437	A0ABW4C437_9LACO	Translation initiation factor IF-2	infB ACFQ5L_13780	Lactiplantibacillus songbeiensis	874	GO:0003743; GO:0003924; GO:0005525; GO:0005829	cytosol [GO:0005829]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation initiation factor activity [GO:0003743]	FUNCTION: One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex. {ECO:0000256|ARBA:ARBA00025162, ECO:0000256|HAMAP-Rule:MF_00100, ECO:0000256|RuleBase:RU000644}.
A0ABW4C450	A0ABW4C450_9LACO	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)	ptsP ACFQ5L_11880	Lactiplantibacillus songbeiensis	576	GO:0005737; GO:0008965; GO:0009401	cytoplasm [GO:0005737]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	FUNCTION: General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr). {ECO:0000256|ARBA:ARBA00002728, ECO:0000256|PIRNR:PIRNR000732}.
A0ABW4C459	A0ABW4C459_9LACO	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)	purE ACFQ5L_09230	Lactiplantibacillus songbeiensis	160	GO:0006189; GO:0034023	5-(carboxyamino)imidazole ribonucleotide mutase activity [GO:0034023]; 'de novo' IMP biosynthetic process [GO:0006189]	FUNCTION: Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR). {ECO:0000256|HAMAP-Rule:MF_01929, ECO:0000256|PIRNR:PIRNR001338}.
A0ABW4C462	A0ABW4C462_9LACO	ABC transporter ATP-binding protein	ACFQ5L_12825	Lactiplantibacillus songbeiensis	262	GO:0005304; GO:0005524; GO:0005886; GO:0015188; GO:0015192; GO:0015808; GO:0016887; GO:0042941; GO:1903805; GO:1903806	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; L-isoleucine transmembrane transporter activity [GO:0015188]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-valine transmembrane transporter activity [GO:0005304]; D-alanine transmembrane transport [GO:0042941]; L-alanine transport [GO:0015808]; L-isoleucine import across plasma membrane [GO:1903806]; L-valine import across plasma membrane [GO:1903805]	
A0ABW4C463	A0ABW4C463_9LACO	Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)	prmA ACFQ5L_13930	Lactiplantibacillus songbeiensis	316	GO:0005737; GO:0008276	cytoplasm [GO:0005737]; protein methyltransferase activity [GO:0008276]	FUNCTION: Methylates ribosomal protein L11. {ECO:0000256|HAMAP-Rule:MF_00735}.
A0ABW4C472	A0ABW4C472_9LACO	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA ACFQ5L_10050	Lactiplantibacillus songbeiensis	171	GO:0008113	peptide-methionine (S)-S-oxide reductase activity [GO:0008113]	FUNCTION: Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine. {ECO:0000256|HAMAP-Rule:MF_01401}.
A0ABW4C477	A0ABW4C477_9LACO	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	zwf ACFQ5L_14005	Lactiplantibacillus songbeiensis	497	GO:0004345; GO:0005829; GO:0006006; GO:0009051; GO:0050661	cytosol [GO:0005829]; glucose-6-phosphate dehydrogenase activity [GO:0004345]; NADP binding [GO:0050661]; glucose metabolic process [GO:0006006]; pentose-phosphate shunt, oxidative branch [GO:0009051]	FUNCTION: Catalyzes the oxidation of glucose 6-phosphate to 6-phosphogluconolactone. {ECO:0000256|HAMAP-Rule:MF_00966}.
A0ABW4C478	A0ABW4C478_9LACO	Permease IIC component	ACFQ5L_12580	Lactiplantibacillus songbeiensis	439	GO:0005886; GO:0008982; GO:0009401; GO:1902815	plasma membrane [GO:0005886]; protein-N(PI)-phosphohistidine-carbohydrate phosphotransferase activity [GO:0008982]; N,N'-diacetylchitobiose import [GO:1902815]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	FUNCTION: The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active -transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane. {ECO:0000256|PIRNR:PIRNR006351}.
A0ABW4C493	A0ABW4C493_9LACO	Diacylglycerol kinase family protein (EC 2.7.1.-)	ACFQ5L_14080	Lactiplantibacillus songbeiensis	136	GO:0005886; GO:0008654; GO:0016301	plasma membrane [GO:0005886]; kinase activity [GO:0016301]; phospholipid biosynthetic process [GO:0008654]	
A0ABW4C4C0	A0ABW4C4C0_9LACO	GTPase Der (GTP-binding protein EngA)	der ACFQ5L_14230	Lactiplantibacillus songbeiensis	436	GO:0005525; GO:0043022	GTP binding [GO:0005525]; ribosome binding [GO:0043022]	FUNCTION: GTPase that plays an essential role in the late steps of ribosome biogenesis. {ECO:0000256|ARBA:ARBA00053470, ECO:0000256|HAMAP-Rule:MF_00195, ECO:0000256|RuleBase:RU004481}.
A0ABW4C4C1	A0ABW4C4C1_9LACO	Homoserine dehydrogenase (EC 1.1.1.3)	ACFQ5L_11425	Lactiplantibacillus songbeiensis	428	GO:0004412; GO:0009088; GO:0050661	homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]; L-threonine biosynthetic process [GO:0009088]	
A0ABW4C4D9	A0ABW4C4D9_9LACO	Large ribosomal subunit protein uL13	rplM ACFQ5L_12265	Lactiplantibacillus songbeiensis	147	GO:0003729; GO:0003735; GO:0006412; GO:0017148; GO:0022625	cytosolic large ribosomal subunit [GO:0022625]; mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]; negative regulation of translation [GO:0017148]; translation [GO:0006412]	FUNCTION: This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly. {ECO:0000256|HAMAP-Rule:MF_01366, ECO:0000256|RuleBase:RU003878}.
A0ABW4C4G8	A0ABW4C4G8_9LACO	Xanthine phosphoribosyltransferase (XPRTase) (EC 2.4.2.22)	xpt ACFQ5L_12415	Lactiplantibacillus songbeiensis	194	GO:0000310; GO:0005737; GO:0032265; GO:0046110	cytoplasm [GO:0005737]; xanthine phosphoribosyltransferase activity [GO:0000310]; xanthine metabolic process [GO:0046110]; XMP salvage [GO:0032265]	FUNCTION: Converts the preformed base xanthine, a product of nucleic acid breakdown, to xanthosine 5'-monophosphate (XMP), so it can be reused for RNA or DNA synthesis. {ECO:0000256|HAMAP-Rule:MF_01184}.
A0ABW4C4H4	A0ABW4C4H4_9LACO	Putative hemin transport system permease protein HrtB	ACFQ5L_11750	Lactiplantibacillus songbeiensis	355	GO:0005886	plasma membrane [GO:0005886]	FUNCTION: Part of the ABC transporter complex hrt involved in hemin import. Responsible for the translocation of the substrate across the membrane. {ECO:0000256|ARBA:ARBA00024973}.
A0ABW4C4H6	A0ABW4C4H6_9LACO	glutamate--cysteine ligase (EC 6.3.2.2)	gshAB ACFQ5L_13355	Lactiplantibacillus songbeiensis	749	GO:0004357; GO:0005524; GO:0005829; GO:0006750; GO:0046872	cytosol [GO:0005829]; ATP binding [GO:0005524]; glutamate-cysteine ligase activity [GO:0004357]; metal ion binding [GO:0046872]; glutathione biosynthetic process [GO:0006750]	
A0ABW4C4H9	A0ABW4C4H9_9LACO	Peptide ABC transporter substrate-binding protein	ACFQ5L_11990	Lactiplantibacillus songbeiensis	549	GO:0015833; GO:0030288; GO:0043190; GO:1904680	ATP-binding cassette (ABC) transporter complex [GO:0043190]; outer membrane-bounded periplasmic space [GO:0030288]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]	
A0ABW4C4I9	A0ABW4C4I9_9LACO	L-lactate dehydrogenase (EC 1.1.1.27)	ACFQ5L_12065	Lactiplantibacillus songbeiensis	308	GO:0004459; GO:0006089	L-lactate dehydrogenase (NAD+) activity [GO:0004459]; lactate metabolic process [GO:0006089]	
A0ABW4C4J1	A0ABW4C4J1_9LACO	Protein RecA (Recombinase A)	recA ACFQ5L_13190	Lactiplantibacillus songbeiensis	361	GO:0003684; GO:0003697; GO:0005524; GO:0005829; GO:0006281; GO:0006310; GO:0009432; GO:0140664	cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; damaged DNA binding [GO:0003684]; single-stranded DNA binding [GO:0003697]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]	FUNCTION: Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage. {ECO:0000256|HAMAP-Rule:MF_00268}.
A0ABW4C4K9	A0ABW4C4K9_9LACO	Cell shape-determining protein MreC (Cell shape protein MreC)	mreC ACFQ5L_13265	Lactiplantibacillus songbeiensis	281	GO:0005886; GO:0008360	plasma membrane [GO:0005886]; regulation of cell shape [GO:0008360]	FUNCTION: Involved in formation and maintenance of cell shape. {ECO:0000256|PIRNR:PIRNR038471}.
A0ABW4C4L9	A0ABW4C4L9_9LACO	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	rfbB ACFQ5L_12225	Lactiplantibacillus songbeiensis	342	GO:0008460; GO:0009225	dTDP-glucose 4,6-dehydratase activity [GO:0008460]; nucleotide-sugar metabolic process [GO:0009225]	
A0ABW4C4M7	A0ABW4C4M7_9LACO	Pyrrolidone-carboxylate peptidase (EC 3.4.19.3) (5-oxoprolyl-peptidase) (Pyroglutamyl-peptidase I) (PGP-I) (Pyrase)	pcp ACFQ5L_12720	Lactiplantibacillus songbeiensis	215	GO:0005829; GO:0006508; GO:0016920	cytosol [GO:0005829]; pyroglutamyl-peptidase activity [GO:0016920]; proteolysis [GO:0006508]	FUNCTION: Removes 5-oxoproline from various penultimate amino acid residues except L-proline. {ECO:0000256|ARBA:ARBA00002280, ECO:0000256|HAMAP-Rule:MF_00417}.
A0ABW4C4N5	A0ABW4C4N5_9LACO	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	aroB ACFQ5L_12300	Lactiplantibacillus songbeiensis	360	GO:0003856; GO:0005737; GO:0009073; GO:0009423	cytoplasm [GO:0005737]; 3-dehydroquinate synthase activity [GO:0003856]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]	FUNCTION: Catalyzes the conversion of 3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) to dehydroquinate (DHQ). {ECO:0000256|HAMAP-Rule:MF_00110}.
A0ABW4C4N9	A0ABW4C4N9_9LACO	Probable manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase)	ACFQ5L_10030	Lactiplantibacillus songbeiensis	309	GO:0004427; GO:0005737	cytoplasm [GO:0005737]; inorganic diphosphate phosphatase activity [GO:0004427]	
A0ABW4C4P9	A0ABW4C4P9_9LACO	Cytochrome ubiquinol oxidase subunit I	ACFQ5L_12375	Lactiplantibacillus songbeiensis	475	GO:0005886; GO:0009055; GO:0016682; GO:0019646; GO:0020037; GO:0046872; GO:0070069	cytochrome complex [GO:0070069]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; aerobic electron transport chain [GO:0019646]	
A0ABW4C4Q1	A0ABW4C4Q1_9LACO	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	ACFQ5L_13740	Lactiplantibacillus songbeiensis	261	GO:0004605; GO:0005886; GO:0016024	plasma membrane [GO:0005886]; phosphatidate cytidylyltransferase activity [GO:0004605]; CDP-diacylglycerol biosynthetic process [GO:0016024]	FUNCTION: Transferase that catalyzes the synthesis of a CDP-diacylglycerol (CDP-DAG), the activated form of a phosphatidate. {ECO:0000256|ARBA:ARBA00094377}.
A0ABW4C4Q7	A0ABW4C4Q7_9LACO	ATP-binding cassette domain-containing protein	ACFQ5L_12870	Lactiplantibacillus songbeiensis	775	GO:0005524; GO:0005886; GO:0016887; GO:0022857; GO:0098796	membrane protein complex [GO:0098796]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]	
A0ABW4C4R4	A0ABW4C4R4_9LACO	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	gatA ACFQ5L_12450	Lactiplantibacillus songbeiensis	487	GO:0005737; GO:0006412; GO:0030956; GO:0050567	cytoplasm [GO:0005737]; glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; translation [GO:0006412]	FUNCTION: Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). {ECO:0000256|ARBA:ARBA00025295, ECO:0000256|HAMAP-Rule:MF_00120}.
A0ABW4C4R5	A0ABW4C4R5_9LACO	Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)	ppsA ACFQ5L_11030	Lactiplantibacillus songbeiensis	800	GO:0005524; GO:0008986	ATP binding [GO:0005524]; pyruvate, water dikinase activity [GO:0008986]	FUNCTION: Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate. {ECO:0000256|ARBA:ARBA00002988, ECO:0000256|PIRNR:PIRNR000854}.
A0ABW4C4U5	A0ABW4C4U5_9LACO	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase)	ACFQ5L_10330	Lactiplantibacillus songbeiensis	330	GO:0005737; GO:0008677; GO:0015940; GO:0050661	cytoplasm [GO:0005737]; 2-dehydropantoate 2-reductase activity [GO:0008677]; NADP binding [GO:0050661]; pantothenate biosynthetic process [GO:0015940]	FUNCTION: Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid. {ECO:0000256|RuleBase:RU362068}.
A0ABW4C4U9	A0ABW4C4U9_9LACO	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA ACFQ5L_12435	Lactiplantibacillus songbeiensis	680	GO:0003911; GO:0005829; GO:0006260; GO:0006281	cytosol [GO:0005829]; DNA ligase (NAD+) activity [GO:0003911]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	FUNCTION: DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA. {ECO:0000256|ARBA:ARBA00004067, ECO:0000256|HAMAP-Rule:MF_01588}.
A0ABW4C4V7	A0ABW4C4V7_9LACO	DNA mismatch repair protein MutS	mutS ACFQ5L_13175	Lactiplantibacillus songbeiensis	877	GO:0003684; GO:0005524; GO:0005829; GO:0006298; GO:0030983; GO:0140664	cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; damaged DNA binding [GO:0003684]; mismatched DNA binding [GO:0030983]; mismatch repair [GO:0006298]	FUNCTION: This protein is involved in the repair of mismatches in DNA. It is possible that it carries out the mismatch recognition step. This protein has a weak ATPase activity. {ECO:0000256|HAMAP-Rule:MF_00096}.
A0ABW4C4W0	A0ABW4C4W0_9LACO	RNA polymerase sigma factor SigA	rpoD sigA ACFQ5L_14115	Lactiplantibacillus songbeiensis	369	GO:0003677; GO:0005737; GO:0006352; GO:0016987	cytoplasm [GO:0005737]; DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]	FUNCTION: Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is the primary sigma factor during exponential growth. {ECO:0000256|HAMAP-Rule:MF_00963}.
A0ABW4C4W2	A0ABW4C4W2_9LACO	Putative pre-16S rRNA nuclease (EC 3.1.-.-)	ruvX ACFQ5L_13105	Lactiplantibacillus songbeiensis	144	GO:0000967; GO:0005829; GO:0016788	cytosol [GO:0005829]; hydrolase activity, acting on ester bonds [GO:0016788]; rRNA 5'-end processing [GO:0000967]	FUNCTION: Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA. {ECO:0000256|HAMAP-Rule:MF_00651}.
A0ABW4C4W7	A0ABW4C4W7_9LACO	Alpha-acetolactate decarboxylase (EC 4.1.1.5)	budA ACFQ5L_13800	Lactiplantibacillus songbeiensis	238	GO:0045151; GO:0047605	acetolactate decarboxylase activity [GO:0047605]; acetoin biosynthetic process [GO:0045151]	
A0ABW4C4W8	A0ABW4C4W8_9LACO	serine-type D-Ala-D-Ala carboxypeptidase (EC 3.4.16.4)	ACFQ5L_11105	Lactiplantibacillus songbeiensis	443	GO:0006508; GO:0009002	serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; proteolysis [GO:0006508]	FUNCTION: Removes C-terminal D-alanyl residues from sugar-peptide cell wall precursors. {ECO:0000256|ARBA:ARBA00003217}.
A0ABW4C4W9	A0ABW4C4W9_9LACO	Septum site-determining protein MinD (Cell division inhibitor MinD)	minD ACFQ5L_13250	Lactiplantibacillus songbeiensis	268	GO:0005524; GO:0005829; GO:0009898; GO:0016887; GO:0032506; GO:0051782	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cytokinetic process [GO:0032506]; negative regulation of cell division [GO:0051782]	FUNCTION: ATPase required for the correct placement of the division site. Cell division inhibitors MinC and MinD act in concert to form an inhibitor capable of blocking formation of the polar Z ring septums. Rapidly oscillates between the poles of the cell to destabilize FtsZ filaments that have formed before they mature into polar Z rings. {ECO:0000256|ARBA:ARBA00025436}.
A0ABW4C4X3	A0ABW4C4X3_9LACO	Segregation and condensation protein B	scpB ACFQ5L_14190	Lactiplantibacillus songbeiensis	202	GO:0005737; GO:0006260; GO:0051304	cytoplasm [GO:0005737]; chromosome separation [GO:0051304]; DNA replication [GO:0006260]	FUNCTION: Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves. {ECO:0000256|HAMAP-Rule:MF_01804}.
A0ABW4C4Y5	A0ABW4C4Y5_9LACO	Septation ring formation regulator EzrA	ezrA ACFQ5L_13325	Lactiplantibacillus songbeiensis	569	GO:0000921; GO:0005886; GO:0005940; GO:0090529	plasma membrane [GO:0005886]; septin ring [GO:0005940]; cell septum assembly [GO:0090529]; septin ring assembly [GO:0000921]	FUNCTION: Negative regulator of FtsZ ring formation; modulates the frequency and position of FtsZ ring formation. Inhibits FtsZ ring formation at polar sites. Interacts either with FtsZ or with one of its binding partners to promote depolymerization. {ECO:0000256|HAMAP-Rule:MF_00728}.
A0ABW4C4Z5	A0ABW4C4Z5_9LACO	Proline iminopeptidase (PIP) (EC 3.4.11.5) (Prolyl aminopeptidase)	ACFQ5L_12670	Lactiplantibacillus songbeiensis	301	GO:0004177; GO:0006508; GO:0016020; GO:0030313	cell envelope [GO:0030313]; membrane [GO:0016020]; aminopeptidase activity [GO:0004177]; proteolysis [GO:0006508]	FUNCTION: Releases the N-terminal proline from various substrates. {ECO:0000256|PIRNR:PIRNR005539}.
A0ABW4C4Z9	A0ABW4C4Z9_9LACO	Mini-ribonuclease 3 (Mini-3) (Mini-RNase 3) (EC 3.1.26.-) (Mini-RNase III) (Mini-III)	mrnC ACFQ5L_11255	Lactiplantibacillus songbeiensis	136	GO:0004525; GO:0005737; GO:0006364; GO:0019843	cytoplasm [GO:0005737]; ribonuclease III activity [GO:0004525]; rRNA binding [GO:0019843]; rRNA processing [GO:0006364]	FUNCTION: Involved in correct processing of both the 5' and 3' ends of 23S rRNA precursor. Processes 30S rRNA precursor transcript even in absence of ribonuclease 3 (Rnc); Rnc processes 30S rRNA into smaller rRNA precursors. {ECO:0000256|HAMAP-Rule:MF_01468}.
A0ABW4C509	A0ABW4C509_9LACO	Beta-galactosidase (Beta-gal) (EC 3.2.1.23)	ACFQ5L_12745	Lactiplantibacillus songbeiensis	684	GO:0004565; GO:0006012; GO:0009341	beta-galactosidase complex [GO:0009341]; beta-galactosidase activity [GO:0004565]; galactose metabolic process [GO:0006012]	
A0ABW4C510	A0ABW4C510_9LACO	Thioredoxin	trxA ACFQ5L_12985	Lactiplantibacillus songbeiensis	104	GO:0005829; GO:0015035; GO:0045454	cytosol [GO:0005829]; protein-disulfide reductase activity [GO:0015035]; cell redox homeostasis [GO:0045454]	
A0ABW4C511	A0ABW4C511_9LACO	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA ACFQ5L_14025	Lactiplantibacillus songbeiensis	178	GO:0008113	peptide-methionine (S)-S-oxide reductase activity [GO:0008113]	FUNCTION: Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine. {ECO:0000256|HAMAP-Rule:MF_01401}.
A0ABW4C512	A0ABW4C512_9LACO	acetyl-CoA carboxytransferase (EC 2.1.3.15)	accA ACFQ5L_11330	Lactiplantibacillus songbeiensis	257	GO:0003989; GO:0006633; GO:0009317; GO:0016743	acetyl-CoA carboxylase complex [GO:0009317]; acetyl-CoA carboxylase activity [GO:0003989]; carboxyl- or carbamoyltransferase activity [GO:0016743]; fatty acid biosynthetic process [GO:0006633]	
A0ABW4C524	A0ABW4C524_9LACO	non-specific protein-tyrosine kinase (EC 2.7.10.2)	ACFQ5L_13065	Lactiplantibacillus songbeiensis	238	GO:0004715; GO:0005886; GO:0042802	plasma membrane [GO:0005886]; identical protein binding [GO:0042802]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]	
A0ABW4C528	A0ABW4C528_9LACO	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	glyS ACFQ5L_14100	Lactiplantibacillus songbeiensis	693	GO:0004814; GO:0004820; GO:0005524; GO:0005829; GO:0006420; GO:0006426	cytosol [GO:0005829]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; arginyl-tRNA aminoacylation [GO:0006420]; glycyl-tRNA aminoacylation [GO:0006426]	
A0ABW4C534	A0ABW4C534_9LACO	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.-) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	rsmG ACFQ5L_11155	Lactiplantibacillus songbeiensis	244	GO:0005829; GO:0070043	cytosol [GO:0005829]; rRNA (guanine-N7-)-methyltransferase activity [GO:0070043]	FUNCTION: Specifically methylates the N7 position of a guanine in 16S rRNA. {ECO:0000256|HAMAP-Rule:MF_00074}.
A0ABW4C536	A0ABW4C536_9LACO	Cell shape-determining protein MreB	mreB ACFQ5L_13485	Lactiplantibacillus songbeiensis	331	GO:0000902; GO:0005737; GO:0008360	cytoplasm [GO:0005737]; cell morphogenesis [GO:0000902]; regulation of cell shape [GO:0008360]	FUNCTION: Forms membrane-associated dynamic filaments that are essential for cell shape determination. Acts by regulating cell wall synthesis and cell elongation, and thus cell shape. A feedback loop between cell geometry and MreB localization may maintain elongated cell shape by targeting cell wall growth to regions of negative cell wall curvature. {ECO:0000256|HAMAP-Rule:MF_02207}.
A0ABW4C541	A0ABW4C541_9LACO	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	nagA ACFQ5L_11485	Lactiplantibacillus songbeiensis	379	GO:0006046; GO:0008448	N-acetylglucosamine-6-phosphate deacetylase activity [GO:0008448]; N-acetylglucosamine catabolic process [GO:0006046]	
A0ABW4C544	A0ABW4C544_9LACO	Tyrosine recombinase XerD	xerD ACFQ5L_14175	Lactiplantibacillus songbeiensis	296	GO:0003677; GO:0005737; GO:0006313; GO:0007059; GO:0009037	cytoplasm [GO:0005737]; DNA binding [GO:0003677]; tyrosine-based site-specific recombinase activity [GO:0009037]; chromosome segregation [GO:0007059]; DNA transposition [GO:0006313]	FUNCTION: Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. The XerC-XerD complex is essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division. It also contributes to the segregational stability of plasmids. {ECO:0000256|HAMAP-Rule:MF_01807}.
A0ABW4C549	A0ABW4C549_9LACO	Adenine DNA glycosylase (EC 3.2.2.31)	mutY ACFQ5L_10860	Lactiplantibacillus songbeiensis	366	GO:0000701; GO:0006284; GO:0006298; GO:0032357; GO:0034039; GO:0035485; GO:0046872; GO:0051539	4 iron, 4 sulfur cluster binding [GO:0051539]; 8-oxo-7,8-dihydroguanine DNA N-glycosylase activity [GO:0034039]; adenine/guanine mispair binding [GO:0035485]; metal ion binding [GO:0046872]; oxidized purine DNA binding [GO:0032357]; purine-specific mismatch base pair DNA N-glycosylase activity [GO:0000701]; base-excision repair [GO:0006284]; mismatch repair [GO:0006298]	FUNCTION: Adenine glycosylase active on G-A mispairs. MutY also corrects error-prone DNA synthesis past GO lesions which are due to the oxidatively damaged form of guanine: 7,8-dihydro-8-oxoguanine (8-oxo-dGTP). {ECO:0000256|ARBA:ARBA00002933}.
A0ABW4C551	A0ABW4C551_9LACO	Protein translocase subunit SecE	secE ACFQ5L_11230	Lactiplantibacillus songbeiensis	61	GO:0005886; GO:0006605; GO:0008320; GO:0009306; GO:0043952; GO:0065002	plasma membrane [GO:0005886]; transmembrane protein transporter activity [GO:0008320]; intracellular protein transmembrane transport [GO:0065002]; protein secretion [GO:0009306]; protein targeting [GO:0006605]; protein transport by the Sec complex [GO:0043952]	FUNCTION: Essential subunit of the Sec protein translocation channel SecYEG. Clamps together the 2 halves of SecY. May contact the channel plug during translocation. {ECO:0000256|HAMAP-Rule:MF_00422}.
A0ABW4C552	A0ABW4C552_9LACO	Fructose-specific PTS transporter subunit EIIC	ACFQ5L_13560	Lactiplantibacillus songbeiensis	657	GO:0005351; GO:0005737; GO:0005886; GO:0009401; GO:0022877; GO:0090563	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity [GO:0022877]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	
