Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (GO)
Q81WK0	SUCC_BACAN	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BA_3974 GBAA_3974 BAS3687	Bacillus anthracis	386	GO:0000287; GO:0004775; GO:0004776; GO:0005524; GO:0005829; GO:0006099; GO:0006104; GO:0042709	cytosol [GO:0005829]; succinate-CoA ligase complex [GO:0042709]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinate-CoA ligase (GDP-forming) activity [GO:0004776]; succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]
Q81WK3	TRMFO_BACAN	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO (EC 2.1.1.74) (Folate-dependent tRNA (uracil-5-)-methyltransferase) (Folate-dependent tRNA(M-5-U54)-methyltransferase)	trmFO gid BA_3970 GBAA_3970 BAS3683	Bacillus anthracis	434	GO:0002098; GO:0005829; GO:0030488; GO:0047151; GO:0050660	cytosol [GO:0005829]; flavin adenine dinucleotide binding [GO:0050660]; tRNA (uracil(54)-C5)-methyltransferase activity, 5,10-methylenetetrahydrofolate-dependent [GO:0047151]; tRNA methylation [GO:0030488]; tRNA wobble uridine modification [GO:0002098]
Q81WK5	HSLV_BACAN	ATP-dependent protease subunit HslV (EC 3.4.25.2)	hslV BA_3968 GBAA_3968 BAS3681	Bacillus anthracis	180	GO:0004298; GO:0005839; GO:0006508; GO:0009376; GO:0030163	HslUV protease complex [GO:0009376]; proteasome core complex [GO:0005839]; threonine-type endopeptidase activity [GO:0004298]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]
Q81WL0	PYRH_BACAN	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH BA_3963 GBAA_3963 BAS3676	Bacillus anthracis	240	GO:0005737; GO:0006225; GO:0033862; GO:0044210	cytoplasm [GO:0005737]; UMP kinase activity [GO:0033862]; 'de novo' CTP biosynthetic process [GO:0044210]; UDP biosynthetic process [GO:0006225]
Q81WL4	DXR2_BACAN	1-deoxy-D-xylulose 5-phosphate reductoisomerase 2 (DXP reductoisomerase 2) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase 2) (2-C-methyl-D-erythritol 4-phosphate synthase 2)	dxr2 dxr-2 BA_3959 GBAA_3959 BAS3672	Bacillus anthracis	380	GO:0019288; GO:0030145; GO:0030604; GO:0070402	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity [GO:0030604]; manganese ion binding [GO:0030145]; NADPH binding [GO:0070402]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]
Q81WL6	SYP1_BACAN	Proline--tRNA ligase 1 (EC 6.1.1.15) (Prolyl-tRNA synthetase 1) (ProRS 1)	proS1 BA_3957 GBAA_3957 BAS3670	Bacillus anthracis	566	GO:0002161; GO:0004827; GO:0005524; GO:0005829; GO:0006433; GO:0016740; GO:0140096	cytosol [GO:0005829]; aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; catalytic activity, acting on a protein [GO:0140096]; proline-tRNA ligase activity [GO:0004827]; transferase activity [GO:0016740]; prolyl-tRNA aminoacylation [GO:0006433]
Q81WM8	PNP_BACAN	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp BA_3944 GBAA_3944 BAS3658	Bacillus anthracis	712	GO:0000175; GO:0000287; GO:0003723; GO:0004654; GO:0005829; GO:0006396; GO:0006402	cytosol [GO:0005829]; 3'-5'-RNA exonuclease activity [GO:0000175]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]; RNA processing [GO:0006396]
Q81WP2	FTSK_BACAN	DNA translocase FtsK	ftsK BA_3930 GBAA_3930 BAS3645	Bacillus anthracis	793	GO:0003677; GO:0005524; GO:0005886	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; DNA binding [GO:0003677]
Q81WR0	MIAB_BACAN	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)	miaB BA_3908 GBAA_3908 BAS3621	Bacillus anthracis	509	GO:0005829; GO:0035597; GO:0051539	cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; tRNA-2-methylthio-N(6)-dimethylallyladenosine(37) synthase activity [GO:0035597]
Q81WU4	PEPT_BACAN	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)	pepT pepT-1 BA_3872 GBAA_3872 BAS3588	Bacillus anthracis	410	GO:0005829; GO:0006508; GO:0008270; GO:0043171; GO:0045148	cytosol [GO:0005829]; tripeptide aminopeptidase activity [GO:0045148]; zinc ion binding [GO:0008270]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]
Q81WY7	THIC_BACAN	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)	thiC BA_5463 GBAA_5463 BAS5076	Bacillus anthracis	586	GO:0005829; GO:0008270; GO:0009228; GO:0009229; GO:0051536; GO:0070284	cytosol [GO:0005829]; iron-sulfur cluster binding [GO:0051536]; phosphomethylpyrimidine synthase activity [GO:0070284]; zinc ion binding [GO:0008270]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
Q81X04	SPEH2_BACAN	S-adenosylmethionine decarboxylase proenzyme 2 (AdoMetDC 2) (SAMDC 2) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase 2 beta chain; S-adenosylmethionine decarboxylase 2 alpha chain]	speH2 speD-2 BA_5446 GBAA_5446 BAS5061	Bacillus anthracis	123	GO:0004014; GO:0005829; GO:0008295	cytosol [GO:0005829]; adenosylmethionine decarboxylase activity [GO:0004014]; spermidine biosynthetic process [GO:0008295]
Q81X05	SPEE2_BACAN	Polyamine aminopropyltransferase 2 (Putrescine aminopropyltransferase 2) (PAPT 2) (Spermidine synthase 2) (SPDS 2) (SPDSY 2) (EC 2.5.1.16)	speE2 BA_5445 GBAA_5445 BAS5060	Bacillus anthracis	360	GO:0004766; GO:0005737; GO:0008295; GO:0010487	cytoplasm [GO:0005737]; spermidine synthase activity [GO:0004766]; thermospermine synthase activity [GO:0010487]; spermidine biosynthetic process [GO:0008295]
Q81X26	SECA1_BACAN	Protein translocase subunit SecA 1 (EC 7.4.2.8)	secA1 BA_5421 GBAA_5421 BAS5038	Bacillus anthracis	835	GO:0005524; GO:0005829; GO:0005886; GO:0006605; GO:0008564; GO:0017038; GO:0031522; GO:0043952; GO:0065002	cell envelope Sec protein transport complex [GO:0031522]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; protein-exporting ATPase activity [GO:0008564]; intracellular protein transmembrane transport [GO:0065002]; protein import [GO:0017038]; protein targeting [GO:0006605]; protein transport by the Sec complex [GO:0043952]
Q81X30	FTSX_BACAN	Cell division protein FtsX	ftsX BA_5415 BAS5033 GBAA_5415	Bacillus anthracis	297	GO:0005886; GO:0045881; GO:0051301; GO:0070098	plasma membrane [GO:0005886]; cell division [GO:0051301]; chemokine-mediated signaling pathway [GO:0070098]; positive regulation of sporulation resulting in formation of a cellular spore [GO:0045881]
Q81X47	UVRB_BACAN	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	uvrB BA_5396 GBAA_5396 BAS5016	Bacillus anthracis	658	GO:0003677; GO:0005524; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432; GO:0016887	cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]
Q81X51	HPRK_BACAN	HPr kinase/phosphorylase (HPrK/P) (EC 2.7.11.-) (EC 2.7.4.-) (HPr(Ser) kinase/phosphorylase)	hprK BA_5392 GBAA_5392 BAS5012	Bacillus anthracis	309	GO:0000155; GO:0000287; GO:0004712; GO:0005524; GO:0006109; GO:0106310	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphorelay sensor kinase activity [GO:0000155]; protein serine kinase activity [GO:0106310]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; regulation of carbohydrate metabolic process [GO:0006109]
Q81X63	CLPP2_BACAN	ATP-dependent Clp protease proteolytic subunit 2 (EC 3.4.21.92) (Endopeptidase Clp 2)	clpP2 BA_5380 GBAA_5380 BAS5000	Bacillus anthracis	193	GO:0004176; GO:0004252; GO:0005737; GO:0006508; GO:0006515; GO:0009368; GO:0042802; GO:0051117	cytoplasm [GO:0005737]; endopeptidase Clp complex [GO:0009368]; ATP-dependent peptidase activity [GO:0004176]; ATPase binding [GO:0051117]; identical protein binding [GO:0042802]; serine-type endopeptidase activity [GO:0004252]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; proteolysis [GO:0006508]
Q81X75	PGK_BACAN	Phosphoglycerate kinase (EC 2.7.2.3)	pgk BA_5367 GBAA_5367 BAS4988	Bacillus anthracis	394	GO:0004618; GO:0005524; GO:0005829; GO:0006094; GO:0006096; GO:0043531	cytosol [GO:0005829]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]
Q81X76	TPIS_BACAN	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA tpi BA_5366 GBAA_5366 BAS4987	Bacillus anthracis	251	GO:0004807; GO:0005829; GO:0006094; GO:0006096; GO:0019563; GO:0046166	cytosol [GO:0005829]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]
Q81X78	ENO_BACAN	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno BA_5364 GBAA_5364 BAS4985	Bacillus anthracis	431	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009986	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]
Q81XB1	FATD_BACAN	Petrobactin import system permease protein FatD	fatD GBAA_5329	Bacillus anthracis	334	GO:0005886; GO:0022857; GO:0033214	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; siderophore-iron import into cell [GO:0033214]
Q81XB2	FATC_BACAN	Petrobactin import system permease protein FatC	fatC GBAA_5328	Bacillus anthracis	354	GO:0005886; GO:0022857; GO:0033214	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; siderophore-iron import into cell [GO:0033214]
Q81XB3	FATE_BACAN	Petrobactin import ATP-binding protein FatE (EC 7.2.2.-)	fatE GBAA_5327	Bacillus anthracis	250	GO:0005524; GO:0005886; GO:0016887	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
Q81XC5	MURB2_BACAN	UDP-N-acetylenolpyruvoylglucosamine reductase 2 (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase 2)	murB2 murB-2 BA_5315 GBAA_5315 BAS4937	Bacillus anthracis	305	GO:0005829; GO:0008762; GO:0009252; GO:0071555; GO:0071949	cytosol [GO:0005829]; FAD binding [GO:0071949]; UDP-N-acetylmuramate dehydrogenase activity [GO:0008762]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]
Q81XC6	SYY2_BACAN	Tyrosine--tRNA ligase 2 (EC 6.1.1.1) (Tyrosyl-tRNA synthetase 2) (TyrRS 2)	tyrS2 tyrS-2 BA_5314 GBAA_5314 BAS4936	Bacillus anthracis	419	GO:0003723; GO:0004831; GO:0005524; GO:0005829; GO:0006437; GO:0042803	cytosol [GO:0005829]; ATP binding [GO:0005524]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; tyrosine-tRNA ligase activity [GO:0004831]; tyrosyl-tRNA aminoacylation [GO:0006437]
Q81XF9	SYM2_BACAN	Methionine--tRNA ligase 2 (EC 6.1.1.10) (Methionyl-tRNA synthetase 2) (MetRS 2)	metG2 BA_5278 GBAA_5278 BAS4903	Bacillus anthracis	544	GO:0004825; GO:0005524; GO:0005829; GO:0006431	cytosol [GO:0005829]; ATP binding [GO:0005524]; methionine-tRNA ligase activity [GO:0004825]; methionyl-tRNA aminoacylation [GO:0006431]
Q81XH4	YIDC1_BACAN	Membrane protein insertase YidC 1 (Foldase YidC 1) (Membrane integrase YidC 1) (Membrane protein YidC 1)	yidC1 spoIIIJ-1 BA_5263 GBAA_5263 BAS4889	Bacillus anthracis	260	GO:0005886; GO:0032977; GO:0051205	plasma membrane [GO:0005886]; membrane insertase activity [GO:0032977]; protein insertion into membrane [GO:0051205]
Q81XJ7	LDH3_BACAN	L-lactate dehydrogenase 3 (L-LDH 3) (EC 1.1.1.27)	ldh3 ldh-3 BA_5240 GBAA_5240 BAS4869	Bacillus anthracis	316	GO:0004459; GO:0005737; GO:0006089; GO:0006096	cytoplasm [GO:0005737]; L-lactate dehydrogenase (NAD+) activity [GO:0004459]; glycolytic process [GO:0006096]; lactate metabolic process [GO:0006089]
Q81XL3	METN3_BACAN	Methionine import ATP-binding protein MetN 3 (EC 7.4.2.11)	metN3 BA_5222 GBAA_5222 BAS4855	Bacillus anthracis	341	GO:0005524; GO:0005886; GO:0016887; GO:0033232	plasma membrane [GO:0005886]; ABC-type D-methionine transporter activity [GO:0033232]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
Q81XM8	LIPA_BACAN	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA BA_5205 GBAA_5205 BAS4840	Bacillus anthracis	298	GO:0005737; GO:0009249; GO:0016992; GO:0051539	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; protein lipoylation [GO:0009249]
Q81XR2	DAPF_BACAN	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)	dapF BA_5170 GBAA_5170 BAS4806	Bacillus anthracis	288	GO:0005829; GO:0008837	cytosol [GO:0005829]; diaminopimelate epimerase activity [GO:0008837]
Q81XS5	AMPA_BACAN	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA BA_5155 GBAA_5155 BAS4792	Bacillus anthracis	494	GO:0005737; GO:0006508; GO:0030145; GO:0070006	cytoplasm [GO:0005737]; manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]; proteolysis [GO:0006508]
Q81XT3	SYG_BACAN	Glycine--tRNA ligase (EC 6.1.1.14) (Glycyl-tRNA synthetase) (GlyRS)	glyQS glyS BA_5147 GBAA_5147 BAS4784	Bacillus anthracis	458	GO:0004081; GO:0004820; GO:0005524; GO:0005829; GO:0006426; GO:0015966; GO:0016740; GO:0046983; GO:0070062; GO:0140096; GO:1990742	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; microvesicle [GO:1990742]; ATP binding [GO:0005524]; bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity [GO:0004081]; catalytic activity, acting on a protein [GO:0140096]; glycine-tRNA ligase activity [GO:0004820]; protein dimerization activity [GO:0046983]; transferase activity [GO:0016740]; diadenosine tetraphosphate biosynthetic process [GO:0015966]; glycyl-tRNA aminoacylation [GO:0006426]
Q81Y06	LEXA_BACAN	LexA repressor (EC 3.4.21.88)	lexA BA_3754 GBAA_3754 BAS3479	Bacillus anthracis	206	GO:0003677; GO:0004252; GO:0006260; GO:0006281; GO:0006508; GO:0009432; GO:0045892	DNA binding [GO:0003677]; serine-type endopeptidase activity [GO:0004252]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; negative regulation of DNA-templated transcription [GO:0045892]; proteolysis [GO:0006508]; SOS response [GO:0009432]
Q81Y10	PHNC_BACAN	Phosphonates import ATP-binding protein PhnC (EC 7.3.2.2)	phnC BA_3749 GBAA_3749 BAS3474	Bacillus anthracis	257	GO:0005524; GO:0005886; GO:0015416; GO:0016887	plasma membrane [GO:0005886]; ABC-type phosphonate transporter activity [GO:0015416]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
Q81Y46	HUTU_BACAN	Urocanate hydratase (Urocanase) (EC 4.2.1.49) (Imidazolonepropionate hydrolase)	hutU BA_3711 GBAA_3711 BAS3441	Bacillus anthracis	552	GO:0005737; GO:0006548; GO:0016153	cytoplasm [GO:0005737]; urocanate hydratase activity [GO:0016153]; L-histidine catabolic process [GO:0006548]
Q81Y47	HUTI_BACAN	Imidazolonepropionase (EC 3.5.2.7) (Imidazolone-5-propionate hydrolase)	hutI BA_3710 GBAA_3710 BAS3440	Bacillus anthracis	423	GO:0005506; GO:0005737; GO:0006548; GO:0008270; GO:0050480	cytoplasm [GO:0005737]; imidazolonepropionase activity [GO:0050480]; iron ion binding [GO:0005506]; zinc ion binding [GO:0008270]; L-histidine catabolic process [GO:0006548]
Q81Y92	PLSY3_BACAN	Glycerol-3-phosphate acyltransferase 3 (Acyl-PO4 G3P acyltransferase 3) (Acyl-phosphate--glycerol-3-phosphate acyltransferase 3) (G3P acyltransferase 3) (GPAT 3) (EC 2.3.1.275) (Lysophosphatidic acid synthase 3) (LPA synthase 3)	plsY3 BA_3665 GBAA_3665 BAS3399	Bacillus anthracis	198	GO:0005886; GO:0008654; GO:0043772	plasma membrane [GO:0005886]; acyl-phosphate glycerol-3-phosphate acyltransferase activity [GO:0043772]; phospholipid biosynthetic process [GO:0008654]
Q81YT7	QUEG_BACAN	Epoxyqueuosine reductase (EC 1.17.99.6) (Queuosine biosynthesis protein QueG)	queG BA_0545 GBAA_0545 BAS0514	Bacillus anthracis	380	GO:0005737; GO:0008616; GO:0051536; GO:0052693	cytoplasm [GO:0005737]; epoxyqueuosine reductase activity [GO:0052693]; iron-sulfur cluster binding [GO:0051536]; tRNA queuosine(34) biosynthetic process [GO:0008616]
Q81YV0	GSA1_BACAN	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 BA_0531 GBAA_0531 BAS0499	Bacillus anthracis	434	GO:0005737; GO:0030170; GO:0033014; GO:0042286	cytoplasm [GO:0005737]; glutamate-1-semialdehyde 2,1-aminomutase activity [GO:0042286]; pyridoxal phosphate binding [GO:0030170]; tetrapyrrole biosynthetic process [GO:0033014]
Q81YW9	UGTP_BACAN	Processive diacylglycerol beta-glucosyltransferase (EC 2.4.1.315) (Beta-diglucosyldiacylglycerol synthase) (Beta-DGS) (DGlcDAG synthase) (Glc2-DAG synthase) (Beta-gentiobiosyldiacylglycerol synthase) (Beta-monoglucosyldiacylglycerol synthase) (Beta-MGS) (MGlcDAG synthase) (Beta-triglucosyldiacylglycerol synthase) (TGlcDAG synthase) (Diglucosyl diacylglycerol synthase (1,6-linking)) (Glucosyl-beta-1,6-glucosyldiacylglycerol synthase) (UDP glucosyltransferase) (UDP-glucose:1,2-diacylglycerol-3-beta-D-glucosyltransferase)	ugtP BA_0511 GBAA_0511 BAS0483	Bacillus anthracis	388	GO:0005886; GO:0009246; GO:0009247; GO:0047228; GO:0070395	plasma membrane [GO:0005886]; 1,2-diacylglycerol 3-glucosyltransferase activity [GO:0047228]; enterobacterial common antigen biosynthetic process [GO:0009246]; glycolipid biosynthetic process [GO:0009247]; lipoteichoic acid biosynthetic process [GO:0070395]
Q81Z76	SYP2_BACAN	Proline--tRNA ligase 2 (EC 6.1.1.15) (Prolyl-tRNA synthetase 2) (ProRS 2)	proS2 BA_0396 GBAA_0396 BAS0382	Bacillus anthracis	508	GO:0004827; GO:0005524; GO:0005737; GO:0006433; GO:0016740; GO:0017101; GO:0140096	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; catalytic activity, acting on a protein [GO:0140096]; proline-tRNA ligase activity [GO:0004827]; transferase activity [GO:0016740]; prolyl-tRNA aminoacylation [GO:0006433]
Q81Z95	THIE_BACAN	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	thiE BA_0377 GBAA_0377 BAS0363	Bacillus anthracis	219	GO:0000287; GO:0004789; GO:0005737; GO:0009228; GO:0009229	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; thiamine-phosphate diphosphorylase activity [GO:0004789]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
Q81Z96	THIM_BACAN	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)	thiM BA_0376 GBAA_0376 BAS0362	Bacillus anthracis	268	GO:0000287; GO:0004417; GO:0005524; GO:0009228; GO:0009229	ATP binding [GO:0005524]; hydroxyethylthiazole kinase activity [GO:0004417]; magnesium ion binding [GO:0000287]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
Q81Z97	TOP3_BACAN	DNA topoisomerase 3 (EC 5.6.2.1) (DNA topoisomerase III)	topB BA_0375 GBAA_0375 BAS0361	Bacillus anthracis	729	GO:0000287; GO:0003677; GO:0003917; GO:0006265; GO:0006281; GO:0006310; GO:0043597	cytoplasmic replication fork [GO:0043597]; DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; magnesium ion binding [GO:0000287]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA topological change [GO:0006265]
Q81ZC2	DRDI_BACAN	5-deoxyribose 1-phosphate isomerase (EC 5.3.1.-)	drdI BA_0347 GBAA_0347 BAS0332	Bacillus anthracis	347	GO:0019323; GO:0046523	S-methyl-5-thioribose-1-phosphate isomerase activity [GO:0046523]; pentose catabolic process [GO:0019323]
Q81ZE8	GATA_BACAN	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit A (Asp/Glu-ADT subunit A) (EC 3.5.1.2) (Glutamyl-tRNA(Gln) amidotransferase subunit A) (Glu-ADT subunit A)	gatA BA_0321 GBAA_0321 BAS0306	Bacillus anthracis	485	GO:0005737; GO:0006412; GO:0030956; GO:0050567	cytoplasm [GO:0005737]; glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; translation [GO:0006412]
Q81ZF5	METN2_BACAN	Methionine import ATP-binding protein MetN 2 (EC 7.4.2.11)	metN2 BA_0312 GBAA_0312 BAS0297	Bacillus anthracis	339	GO:0005524; GO:0005886; GO:0016887; GO:0033232	plasma membrane [GO:0005886]; ABC-type D-methionine transporter activity [GO:0033232]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
Q81ZG1	DNLJ_BACAN	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA BA_0306 GBAA_0306 BAS0292	Bacillus anthracis	669	GO:0003677; GO:0003911; GO:0005829; GO:0006260; GO:0006281	cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA ligase (NAD+) activity [GO:0003911]; DNA repair [GO:0006281]; DNA replication [GO:0006260]
Q81ZG8	PUR9_BACAN	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH BA_0298 GBAA_0298 BAS0285	Bacillus anthracis	511	GO:0003937; GO:0004643; GO:0005829; GO:0006189	cytosol [GO:0005829]; IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
Q81ZH0	PUR5_BACAN	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	purM BA_0296 GBAA_0296 BAS0283	Bacillus anthracis	346	GO:0004637; GO:0004641; GO:0005829; GO:0006189; GO:0046084	cytosol [GO:0005829]; phosphoribosylamine-glycine ligase activity [GO:0004637]; phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]; 'de novo' IMP biosynthetic process [GO:0006189]; adenine biosynthetic process [GO:0046084]
Q81ZH2	PURL_BACAN	Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II)	purL BA_0294 GBAA_0294 BAS0281	Bacillus anthracis	739	GO:0000287; GO:0004642; GO:0005524; GO:0005737; GO:0006189	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]; 'de novo' IMP biosynthetic process [GO:0006189]
Q81ZH3	PURQ_BACAN	Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)	purQ BA_0293 GBAA_0293 BAS0280	Bacillus anthracis	227	GO:0004359; GO:0004642; GO:0005737; GO:0006189	cytoplasm [GO:0005737]; glutaminase activity [GO:0004359]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]; 'de novo' IMP biosynthetic process [GO:0006189]
Q846B4	ARGC_BACAM	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)	argC	Bacillus amyloliquefaciens (Bacillus velezensis)	344	GO:0003942; GO:0005737; GO:0006526; GO:0051287; GO:0070401	cytoplasm [GO:0005737]; N-acetyl-gamma-glutamyl-phosphate reductase activity [GO:0003942]; NAD binding [GO:0051287]; NADP+ binding [GO:0070401]; L-arginine biosynthetic process [GO:0006526]
Q8KWS8	BACD_BACAM	Alanine--anticapsin ligase (EC 6.3.2.49) (ATP-dependent dipeptide ligase) (Bacilysin synthetase) (L-Ala-L-amino acid dipeptide ligase) (L-alanine--L-anticapsin ligase) (L-amino acid ligase) (Lal)	bacD	Bacillus amyloliquefaciens (Bacillus velezensis)	472	GO:0005524; GO:0034026; GO:0046872	ATP binding [GO:0005524]; L-amino-acid alpha-ligase activity [GO:0034026]; metal ion binding [GO:0046872]
